Judul,Klasifikasi
CK-4C PR. Alam Subur,"Berita acara Pencacahan dan perajangan pita cukai rusak, sisa baik, dan pelat cetak rusak"
Berita Acara Pencacahan BKC Alkohol PT Perkebunan Nusantara XI 2005,Berita acara Pencacahan Etil Alkohol (EA) dan Minuman Mengandung Etil Alkohol
Berita Acara Pencacahan BKC Alkohol PT Perkebunan Nusantara XI 2006,Berita acara Pencacahan Etil Alkohol (EA) dan Minuman Mengandung Etil Alkohol
Berita Acara Pencacahan BKC Alkohol PT Perkebunan Nusantara XI 2007,Berita acara Pencacahan Etil Alkohol (EA) dan Minuman Mengandung Etil Alkohol
Berita Acara Pencacahan BKC Alkohol PT Perkebunan Nusantara XI 2008,Berita acara Pencacahan Etil Alkohol (EA) dan Minuman Mengandung Etil Alkohol
Permohonan Perpanjangan Izin Impor Sementara,Izin impor sementara
Permohonan Penutupan Sebagai Kawasan Pabean PT Paiton,Izin kawasan pabean
Penetapan dan Pencabutan PT Pelindo sebagai Tempat Penimbunan Sementara,Izin tempat penimbunan sementara
Permohonan Penutupan Izin Impor Sementara PT Paiton,Izin tempat penimbunan sementara
Permohonan Penetapan TPS PT Paiton,Izin tempat penimbunan sementara
Pencabutan Pembekuan PR Merah Sejati dan PR Djaya Putra,Keputusan pembekuan NPPBKC
NPPBKC PR Argun,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Mahameru,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
Pencabutan NPPBKC PR Pelangi Abadi,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Mitra Makmur,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Prima Abadi Sejahtera,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Prima Abadi Sejahtera,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Rina Jaya,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Rina Jaya,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Jaya Agung,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Nasional,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Nasional,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Sumber Rejeki Abadi,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC Sumber Rejeki Hasanah,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Sumber Rejeki Abadi,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Eka Jaya IV,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
Pencabutan NPPBKC PR Gudang Berkah,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Aman Jaya Family,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Manalagi,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Menyono Jago,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Djaya Putra,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Dua Jadi,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Sumber Makmur Abadi,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Jaya Agung,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Nasional,Keputusan pencabutan NPPBKC
Penetapan HJE PR Pelangi Abadi,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Dua Jadi,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Berkah Jaya,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Aman Jaya Family,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Manalagi,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Argun,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Jaya Agung,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Jaya Agung,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Jaya Agung,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan Kenaikan HJE PR Jaya Agung,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan Kenaikan HJE PR Jaya Agung,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan Penurunan HJE PR Nasional,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Keputusan Harga Jual Eceran PR Tiga Tiga & PR Nasional,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR SUmber Rejeki Hasanah,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR SUmber Rejeki Hasanah,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR SUmber Rejeki Hasanah,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR EKA JAYA IV,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Stock Opname PT Eratex Djaja,laporan kawasan Berikat
Stock Opname PT Eratex Djaja,laporan kawasan Berikat
Laporan Kegiatan dan Keadaan Perangkat Radio (2002-2003),laporan pemanfaatan Sarana operasi
Laporan Pemeliharaan Perangkat Radio (1997-1999),laporan pemanfaatan Sarana operasi
Laporan Kegiatan dan Keadaan Perangkat Radio (1997-1999),laporan pemanfaatan Sarana operasi
CK-4C PR Menyono Jago,laporan produksi BKC
CK-4C PR Dua Jadi 2005,laporan produksi BKC
CK-4C PR Dua Jadi 2008,laporan produksi BKC
CK-4C PR Dua Jadi 2007,laporan produksi BKC
CK-4C PR Dua Jadi,laporan produksi BKC
CK-4C PR Gudang Berkah 2007,laporan produksi BKC
CK-4C PR Gudang Berkah 2008,laporan produksi BKC
CK-4C PR Gudang Berkah,laporan produksi BKC
CK-4C PR Aman Jaya Family 2008,laporan produksi BKC
CK-4C PR Aman Jaya Family 2007,laporan produksi BKC
CK-4C PR Manalagi,laporan produksi BKC
CK-4C PR Argun,laporan produksi BKC
Laporan Bulanan Produksi Hasil Tembakau Juni-November,laporan produksi BKC
Laporan Bulanan Produksi Hasil Tembakau Januari-November,laporan produksi BKC
Laporan Bulanan Produksi Hasil Tembakau PR Djaya Putra Desember 2006 s.d. Oktober 2007,laporan produksi BKC
Laporan Bulanan Produksi Hasil Tembakau PR Mahameru 2005,laporan produksi BKC
CK-4C PR Bintang Usaha Agustus - Desember,laporan produksi BKC
CK-4C PR Bintang Usaha Januari - Juli,laporan produksi BKC
CK-4C PR Pelangi Abadi Januari - Desember,laporan produksi BKC
CK-4C PR Pelangi Abadi Januari - Desember,laporan produksi BKC
CK-4C PR Menyono Jago Januari - Oktober,laporan produksi BKC
"CK-4C Februari, CK-4C Maret PR Pelangi Abadi",laporan produksi BKC
"CK-4c PR Nurul Abadi Jaya Januari, Maret, April, Juni, Desember 2009",laporan produksi BKC
"CK-4c PR Nurul Abadi Jaya Juni, Agustus, September,November 2009",laporan produksi BKC
CK-4C Alam sejahtera Oktober-Desember 2009,laporan produksi BKC
CK-4C Alam Sejahtera Januari-Juni,laporan produksi BKC
"CK-4C PR Bintang Usaha Januari, Februari,Juni, Juli, Agustus,September,Oktober",laporan produksi BKC
"CK-4C Nurul Abadi Jaya Juli, Agustus, Desember",laporan produksi BKC
"CK-4C Oktober, April a.n. Nurul Abadi",laporan produksi BKC
CK-4C Januari a.n. Alam Subur,laporan produksi BKC
"CK-4C Oktober, Desember, Juni, Mei, Maret a.n. Alam Subur",laporan produksi BKC
"CK-4C Februari, September, Agustus, Juli, Juni, November a.n. Alam Subur",laporan produksi BKC
CK-4C Nurul Abadi Jaya Okt-Des 2006,laporan produksi BKC
Laporan Bulanan Produksi Hasil Tembakau Januari - Maret,laporan produksi BKC
CK-4C Nurul Abadi Jaya Juli-Sept,laporan produksi BKC
CK-4C PR Nasional,laporan produksi BKC
CK-4C PR Nasional,laporan produksi BKC
CK-4C PR Nasional,laporan produksi BKC
CK-4C PR Nasional,laporan produksi BKC
CK-4C PR Nasional,laporan produksi BKC
CK-4C PR Nasional,laporan produksi BKC
CK-4C PR Nasional,laporan produksi BKC
CK-4C PR Nasional Sejati (Februari-maret),laporan produksi BKC
CK-4C PR Nasional Sejati (April-Juni),laporan produksi BKC
CK-4C PR Nasional Sejati,laporan produksi BKC
CK-4C PR Nasional Sejati,laporan produksi BKC
CK-4C PR Nasional Sejati,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Sumber Rejeki Hasanah,laporan produksi BKC
CK-4C Eka Jaya IV,laporan produksi BKC
CK-4C Eka Jaya IV,laporan produksi BKC
CK-4C Eka Jaya IV,laporan produksi BKC
CK-4C Eka Jaya IV,laporan produksi BKC
CK-4C Eka Jaya IV,laporan produksi BKC
Buku Timbang Terima,Lembar pemeliharaan saran operasi lainnya
Data Konfirmasi Penerimaan BC 2.3 Impor PT Eratex Djaja September 2013,Dokumen Pemasukan ke Tempat Penimbunan Berikat (TPB)
Penetapan Tarif Cukai Kolektif 2009,Dokumen Penetapan Tarif Cukai dan Golongan Perusahaan
CK-4C Eka Jaya IV,Dokumen Produksi Barang Kena Cukai (BKC)
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Buku Catatan Inward Manifest BCF 1.1,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Dokumen Kelengkapan Rencana Keberangkatan Sarana Pengangkut,Inward manifest I outward manifest (BC 1.1) dan dokumen kelengkapannya
Rekapitulasi Laporan Mingguan Hasil Pemeriksaan Fisik (2002),Laporan
Rekapitulasi Laporan Mingguan Hasil Pemeriksaan Fisik (2001),Laporan
Rekapitulasi Laporan Mingguan Hasil Pemeriksaan Fisik (2000),Laporan
Buku Bambu Bongkar Muat Kayu/Logs/Rotan,Laporan Pangkalan Sarana Operasi
Buku Laporan Posko Siang/Malam,Laporan Pangkalan Sarana Operasi
Buku Pedoman dan Lain-lain,Non Arsip
Himpunan Peraturan,Non Arsip
Copy Peraturan dan Lain-lain,Non Arsip
"Himpunan Peraturan/Instruksi DJBC T. A. 1971/1972, 1972/1973, 1973/1974, 1976/1977, 1988/1989",Non Arsip
Warta Bea Cukai,Non Arsip
Copy Strategic Paper,Non Arsip
Copy Berkas Perkara Tindak Pidana Cukai,Non Arsip
Copy Faktur Pajak Standar,Non Arsip
Copy SPT Masa PPN,Non Arsip
Daftar Barang Larangan dan Pembatasan,Non Arsip
Sosialisasi 11 PMK di Bidang Cukai,Non Arsip
Kalender Meja Tahun 2015,Non Arsip
Media Keuangan Januari 2016,Non Arsip
Warta Bea Cukai Januari s.d. maret 2016,Non Arsip
Undang-Undang Nomor 10 Tahun 1995 Tentang Kepabeanan dan Undang-Undang Nomor 11 Tahun 1995 Tentang Cukai,Non Arsip
Himpunan Peraturan/Instruksi Direktorat Jenderal Bea dan Cukai Tahun Anggaran 1977/1978,Non Arsip
Himpunan Peraturan Kepabeanan di Bidang Ekspor tentang Ekspor Barang yang Mendapat Kemudahan Ekspor,Non Arsip
Himpunan peraturan/instruksi DJBC Tahun 1992-1993,Non Arsip
Himpunan peraturan / Instruksi Direktorat Jenderal Bea dan Cukai Tahun 1975/1976,Non Arsip
UU nomor 10 tahun 1995 tentang Kepabeanan dan UU nomor 11 tahun 1995 tentang Cukai,Non Arsip
Undang-Undang Nomor 10 Tahun 1995 Tentang Kepabeanan dan Undang-Undang Nomor 11 Tahun 1995 Tentang Cukai,Non Arsip
Himpunan peraturan/instruksi DJBC Tahun 1991-1992,Non Arsip
Peraturan pabean di bidang peraturan umum,Non Arsip
Deklarasi Columbus The Columbus Declaration,Non Arsip
Undang-Undang Nomor 10 Tahun 1995 Tentang Kepabeanan,Non Arsip
Himpunan menteri keuangan Tahun 1988 Jilid I,Non Arsip
Himpunan peraturan Menteri Keuangan Tahun 1994 Jilid III,Non Arsip
Himpunan peraturan / Instruksi Direktorat Jenderal Bea dan Cukai,Non Arsip
Himpunan Peraturan/Instruksi Direktorat Jenderal Bea dan Cukai Sekretariat Bagian Umum,Non Arsip
Himpunan Peraturan/Instruksi Direktorat Jenderal Bea dan Cukai Sekretariat Bagian Kepegawaian,Non Arsip
UU nomor 10 tahun 1995 tentang Kepabeanan dan UU nomor 11 tahun 1995 tentang Cukai,Non Arsip
Himpunan Peraturan/Instruksi Direktorat Jenderal Bea dan Cukai Direktorat Cukai,Non Arsip
Himpunan Peraturan/Instruksi Direktorat Jenderal Bea dan Cukai Semester Pertama Tahun Anggaran 1995-1996,Non Arsip
Himpunan Peraturan/Instruksi Direktorat Jenderal Bea dan Cukai Direktorat Pabean,Non Arsip
Himpunan Peraturan/Instruksi Direktorat Jenderal Bea dan Cukai Semester Kedua Tahun Anggaran 1991-1992,Non Arsip
Undang-Undang Nomor 10 Tahun 1995 Tentang Kepabeanan,Non Arsip
Petunjuk Pelaksanaan dan Teknis PPNS DJBC,Non Arsip
Data Konfirmasi Penerimaan BC 2.3 Impor PT Eratex Djaja Oktober 2013,Pemberitahuan impor barang untuk ditimbun di TPB (BC 2.3)
Salinan Dokumen BC 2.3 PT Eratex Djaja November 2013,Pemberitahuan impor barang untuk ditimbun di TPB (BC 2.3)
Salinan Dokumen BC 2.3 PT Eratex Djaja Oktober-November 2013,Pemberitahuan impor barang untuk ditimbun di TPB (BC 2.3)
CK-1 PR Menyono Jago,Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 45, CK-1 113",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 203, CK-1 215",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 70, CK-1 158, CK-1 232",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 173, CK-1 186, CK-1 207, CK-1 210",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 103, CK-1 150",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 41, CK-1 49, CK-1 196, CK-1 271",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 8, CK-1 106, CK-1 142, CK-1 143, CK-1 184, CK-1 193, CK-1 211, CK-1 233, CK-1 239, CK-1 257, CK-1 278",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 83, CK-1 86, CK-1 140, CK-1 241",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 24, CK-1 30",Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 39,Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 36, CK-1 50, CK-1 206, CK-1 265",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 12, CK-1 14, CK-1 21, CK-1 64",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 27, CK-1 73, CK-1 74, CK-1 76, CK-1 78, CK-1 98, CK-1 99, CK-1 102, CK-1 105, CK-1 106, CK-1 107, CK-1 108, CK-1 109, CK-1 111",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 88, CK-1 89, CK-1 90, CK-1 91, CK-1 93, CK-1 94, CK-1 95",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 5, CK-1 29, CK-1 66, CK-1 68",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 9, CK-1 27, CK-1 45, CK-1 65, CK-1 109, CK-1 133, CK-1 154, CK-1 183, CK-1 207, CK-1 263",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 27, CK-1 51, CK-1 90, CK-1 134, CK-1 194, CK-1 195, CK-1 211, CK-1 212",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 50, CK-1 53, CK-1 65, CK-1 74, CK-1 90, CK-1 92",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 49, CK-1 50, CK-1 53, CK-1 60, CK-1 61, CK-1 77, CK-1 79, CK-1 132",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 10, CK-1 13, CK-1 30, CK-1 39, CK-1 40, CK-1 52, CK-1 58, CK-1 59, CK-1 67, CK-1 68, CK-1 71",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 26, CK-1 42, CK-1 45, CK-1 48, CK-1 49, CK-1 51, CK-1 54, CK-1 56, CK-1 62, CK-1 64, CK-1 65, CK-1 66, CK-1 69, CK-1 70",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 11, CK-1 12, CK-1 17, CK-1 18, CK-1 28",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 34, CK-1 41, CK-1 44, CK-1 57 ,CK-1 63, CK-1 72, CK-1 75",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 67,181,217,87,97,115,139,140,180",Pemesanan pita cukai (CK-1 dan CK-1A)
"Ck-1 181 ,46,191,189,178,172,206,219",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 53, 111, 7, 117, 144, 74, 125, 1 ,2, 145",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 51, 58, 163",Pemesanan pita cukai (CK-1 dan CK-1A)
CK-4C Nurul Abadi Jaya,Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 PR Jaya Agung 81,93,104,127,187",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 PR Jaya Agung 43, 58",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 Jaya Agung 56, 65",Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 Jaya Agung 126,127,129,139",Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 PR Jaya Agung 000029,Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 PR Nasional 000042, 000100",Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 PR Nasional 000252,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 Sumber Rejeki Hasanah 000134-000135,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 PR Sumber Rejeki Hasanah 102,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 PR Sumber Rejeki Hasanah 171,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 PR Sumber Rejeki Hasanah 209,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 PR Sumber Rejeki Hasanah 69,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 PR Sumber Rejeki Hasanah 152,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 Sumber Rejeki Hasanah 000268,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 36 PR Surya Putera,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 1-4,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 5-8,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 9-13,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 15-20,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 22-23,Pemesanan pita cukai (CK-1 dan CK-1A)
Faktur Pajak PR Surya Putera,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 24 PR Surya Putera,Pemesanan pita cukai (CK-1 dan CK-1A)
Faktur Pajak PR Surya Putera,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 25 PR Surya Putera,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 45 PR Alam Subur,Pemesanan pita cukai (CK-1 dan CK-1A)
SPT dan Faktur Pajak PR Surya Putera,Pemesanan pita cukai (CK-1 dan CK-1A)
"CK-1 27, 28, 35, 44",Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 29-33,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 37-41,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 42-46,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 49-54,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 55-59,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 78-80,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 81-83,Pemesanan pita cukai (CK-1 dan CK-1A)
SPT dan Faktur Pajak PR Surya Putera,Pemesanan pita cukai (CK-1 dan CK-1A)
Lembar 3 CK-1 PR Surya Putera 68 69 78 79,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 PR Audi,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 63-64,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 66-67,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 PR Alam Sejahtera,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 71-72,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 73-75,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 PR Manalagi,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 PT Surya Putera 79,Pemesanan pita cukai (CK-1 dan CK-1A)
CK-1 PT Surya Putera,Pemesanan pita cukai (CK-1 dan CK-1A)
Kedatangan/Keberangkatan Kapal,Rencana Kedatangan Sarana Pengangkut / Jadwal Kedatangan Sarana Pengangkut (RKSP / JKSP) (BC 1.0)
